Id,Category,Text
1,0,"Soy el Clint Eastwood de los Puentes de Madison en todas las putas historias de amor que me han tocado.
"
2,0,"Actualmente ya pasó de moda la pucha joto, ahora sólo quedamos los verdaderos seguidores, los que amamos este estilo de vida.
"
3,0,"¿Es cierto esto? Y no me refiero a lo que dijo, ni al tweet, sino a👉<URL>¿Están tratando de sacarlo del programa?
"
4,0,"Vuela pega y esquiva... la neta está de la vergaaaa pero es pegajosa!!
"
5,0,"Mejor puto disfraz de la noche!!!! 👊👊👊Por tercer año consecutivo morros
"
6,0,"Una verga para dejarte sin aliento, y bien abierto. Te la tragas? 🍆💦
"
7,1,"La que se veía súper mal era Demi Lovato porque se mamo con el escote y el peinado le quedo feo
"
8,1,"YA SE CONVIRTIÓ LA K  EN VIRGEN MARIA ,AHORA SI YA ESTA MAS LOCA
"
9,0,"#280caracteres y yo que creí que tuiter se trataba de ingenio y ahora nos salen con 280 caracateres no mamar
"
10,0,"Hoy en día ya casi nadie se muere por VIH, se mueren por pendejos, por no hacerme chequeos continuos sabiendo lo putos que son.
"
11,0,"Me quedé sin novia, sin amante &amp; sin ex ... todo en el mismo puto fin de semana ...
"
12,0,"Por que critican tanto a las putas, si bien que les gustan.
"
13,0,"Woou rulo invita..yo tambien quiero mamar esa panocha deliciosa y clavarsela
"
14,0,"Acosas a una chava en el metro y lloras cuando te ponen en la madre. Marica.
"
15,1,"Ay joto, tú ahora en lo único que vienes peor que yo es en lo distraído
"
16,0,"Iba a escribir un tuit disculpándome por todos a los que no les respondí WA en los 3 días que no sirvió mi cel y nadie me putas escribió. ☹️
"
17,0,"Me acorde de cuando me internaron y que diego le enseño a mi mama todas las fotos feas que le mando 😂😂ya son bien befis ellos
"
18,0,"Te llevaría conmigo, pero me esta llevando la verga, y no quiero llevarte allá.
"
19,0,"Esa chica un poco loca, que solía estar cantando por el barrio. Esa chica tan risueña con el pelo alborotado. 🎶 #LOVG
"
20,0,"Con el “agua loca”, de que nos ganaron… ¡nos ganaron!
"
21,0,"Si hubiera una materia que se llamara ""Como valer verga en la vida"" ya la hubiera exentado .
"
22,0,"Hasta que te diste cuenta que no te vez bien con esas cosas feas 😖
"
23,1,"Sólo los putos le ponen azúcar a su café porque les sabe “amargo”. Pinches maricones.
"
24,1,"@USUARIO Lo que tu no respetas es al país HDP
"
25,0,"@USUARIO Pinches greñas feas. Te quiero, amigo. Saludos.
"
26,0,"De una vez ve poniendo mi foto en tu ofrenda porque ya se te murió tu pendeja.
"
27,0,"Quien tiene una rica verga con lechita y un culo para mí 😏😏🔥🍆💦💕
"
28,1,"Se quejan por las sentadillas del gimnasio. ¿Pero qué tal cuándo se dan de sentones en alguna verga? Ni rezongan, pinches viejas.
"
29,1,"Me cagan los weyes mamados por chocho que se sienten con el derecho de dejar regado todo lo que usaron en el gym, putos artificiales.
"
30,0,"Hoy logré una asana nueva medio loca en cuanto a equilibrio y fuerza en el abdomen... me siento una hippie bien ruda y feliz 😁
"
31,0,"Si quieren donar ropa (en buen estado no putos harapos) para Morelos, Puebla y Oaxaca ponganse en contacto con @USUARIO 😈
"
32,1,"@USUARIO Yo le hubiera soltado un vergazo en la cara para reventarle esos lentes al marica 😡
"
33,0,"Hoy me traje mi camisa de leñador por si alguien no se había dado cuenta que soy súper gay #EsDeLesbianas
"
34,1,"Que espanto con el joto ese que generaliza a los heterosexuales, por imbeciles como el es que odian a la ""comunidad"" 🙄
"
35,0,"@USUARIO Estamos feas, disculpe
"
36,0,"Me acaban de reafirmar que estoy bien gorda así horrible.😞😖
"
37,0,"Cuando lo hago soy loco, Joto ese tipo de cosas creo que esto llegará a su final en las siguientes generaciones de hombres
"
38,0,"Asi es, bien coludidos haciendose de la vista gorda 😡
"
39,0,"La verdad enojada es bien cabrona! !pues se metieron con lo que mas quiere! !que es luis!
"
40,0,"Que bonito dia y que agradable mañana, perfecta para valer verga :) !!
"
41,0,"Seguramente el brujo de Apizaco está con todas las daifas, meselinas, meretrices, prostitutas, suri… 
"
42,1," @USUARIO Realicen operativos para que dejen de robar el los camiones pinche bola de pndejos inútiles #VivaMéxico #Poser #VerdadAMedias #Putos
"
43,0,"Las bromas tontas siempre han ofendido, la diferencia es que antes era en la intimidad de la sobremesa, ahora se evidencia la ignorancia.
"
44,1,"Como mamá verga y se da de centones la muy puta y lo mejor sin condón se la chingo
"
45,1,"Lo dice alguien que sin duda le va a un equipo marica... espero no seas amer…
"
46,1,"Hah, pinche grosera marica ✊🐞 Tienes que amar los rebotes.. Tocaron universo paralelo??
"
47,0,"Qué uno venga a clases con estas putas inundaciones y el profesor no venga 😐
"
48,1,"Todos los días tengo que llegar a un lugar donde una gorda pseudoprofesionista me está observando y analizado porque no le gusta que opine.
"
49,1,"Qué onda con las señoras taquilleras del metro parece que se comieron al diablo pinches locas groseras HDP, si son servicio público 😤mueran
"
50,0,"@USUARIO Luchona diria yo JAJAJAJAJA
"
51,1,"@USUARIO @USUARIO Que feas patas! Pero lo más feo que tiene es el alma. Mala entraña. Hipócrita
"
52,0,"Todos los hombres que conozco han dicho que si fueran mujeres serían bien putas; una lo es y no les gusta. Pinche doble moral.
"
53,0,"De qué putas sirve que graben en el ULTRA si sus audios están re culeros 😂
"
54,0,"@USUARIO Tantas cosas feas dentro del corazón.
"
55,0,"Jeovani el puto hamo, 👍😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
"
56,0,"Soy gorda o te la pongo gorda?
"
57,1,"@USUARIO Qqq cínica hdp vos tampoco hablaste no diste la cara con nisman y la trajedía d once... Sinverguenza
"
58,1,"Girardi es la persona. As estúpida del mundo la verga como putas dejas por chat tanto a Robertson maldito pedazo de imbécil hijo de puta
"
59,0,"Jaja tú estás más loca y eso dice mucho 😂 también te quiero, espero echar chisme de nuevo pronto ❤
"
60,0,"@USUARIO La luchona JAJAJAJA creí que me ibas a besar y solo te subiste al carro a ver si no traía nada de una vieja JAJAJAJAJA 😂🤦🏻‍♂️
"
61,1,"No digas mamadas Aguilera es un pendejo que hasta sus putos propios solos se le olvidan #nojodas
"
62,0,"Ok, esta bien que habrán biblioteca a las 6, que les den cobijitas, pero que les den hasta desayuno y todavía hablen mal de CEM, que putos.
"
63,0,"En dos meses el 2017 se va al pito y lo único que me preocupa es que debo ya comenzar a pensar en el avatar para el 2018. QUE PUTOS NERVIOS.
"
64,0,"A las conferencias tienes que ir voluntariamente, por gusto. No por qué te obligan, putos.
"
65,0,"Necesito conocer a alguien de mi escuela o algo que también este re loca por Ruben yo no puedo seguir fangirleando sola :'v
"
66,0," @USUARIO como luchar contra la corrupción de los oficiales no sólo nos enfoquemos en la de los ciudadanos esa moneda tiene dos caras feas 
"
67,1,"Si de verdad te valiera verga no hubieras borrado el tuit. Maricón, hijo de tu puta madre.
"
68,0,"Que delicia ver a una mujer en cuatro, recibiendo y chupando verga !!  RT si quieres más videos
"
69,0,"Ay Chuchito perdóname por esta vida tan loca.🙇🏽‍♀️💥
"
70,1,"Que flojera tener novio, quieren saber todo lo qué haces y opinar sobre ello, si ni a mis padres les hacía caso que te voy a pelar a ti hdp
"
71,0,"Gorda nivel, me subo al elevador y se baja.
"
72,0,"“Prométeme que me vas a abrazar y no me vas a soltar”.  Alguien que aún no sabe lo loca que estoy.
"
73,1,"Díganle al maricón de @USUARIO que ya no es mi chile
"
74,1,"El tránsito de la CDMX no es tan culero si lo comparamos con tus celos, pinche loca😹
"
75,0,"Todo bien, digo si soy medio marica pero bueeeeeno se trata de ser adulto y no andar de rencoroso. Eso está más cagazon
"
76,0,"Par de #vergas prietas, deliciosos estos primos. <URL>
"
77,0,"Todo México se esta pasando a la izquierda jajajajaja no mamar en México no hay izquierda. Están los AbZurdos, pero nada más
"
78,1,"@USUARIO chinga tu madre ojalá te mueras puto
"
79,0,"Si me ignoras con un hola que tiene 4 letras ahora con un tuit de 280 caracteres me vas a mandar a la erga.
"
80,0,"Hoy vi a una mujer usando una blusca con estampado de putos minions #VicLife
"
81,0,"@USUARIO LenchiBiblia.... Jaja. Esta con  madre, Sds.
"
82,0,"Violencia. Volátil, visible, violencia visceral. De la verga verlos vergueársela pa' sentirse bien vergudxs. Perdón, pero es…
"
83,1,"Ojo aquí pinche Boha!!! Alguien arróbela a la pinche putita!
"
84,0,"Cuatro putos años viviendo en Xalapa y todavía me equivoco al tomar el camión. Maldita sea.
"
85,0,"Putas combis de tultepec en Coacalco De Berriozábal, Mexico, Mexico 
"
86,0,"Así mi mood laboral de hoy... no entiendo ni madres
"
87,0,"Chica sexy y nalgona, excelente compañía, excelente servicio de lujo. #putas #Chihuahua | 
"
88,1,"No seas pinshi joto doble moral, @USUARIO  Te odio tanto, pero tanto tanto
"
89,1,"Por qué no te abres a la verga y dejan de estar tuiteando sobre mi, va? Si ni con los me
"
90,0,"Pffff, quiero ver a todos sus haters mamar duro. 🔝
"
91,0,"Lo que mandan en mi Grupo de Whatsapp.... Quien quiere grabarse conmigo... Obvio yo mamando verga
"
92,0,"👻¿Porqué todos siguen disfrazados de normalidad? ¡YA ES OCTUBRE PUTOS!🎃
"
93,0,"Ya dejen de mamar con coco y el Día de muertos. Si no lo saca Disney ustedes valiendo verga como siempre para hoy y mañana.
"
94,0,"Agenda de hoy : * Estar de malas  * Estar Triste  * Chingar la madre Esos son mis únicas tres tareas de hoy y no me disculpo por nada.
"
95,0,"¿Tomarás mi alma en la lluvia a media noche? Mientras estoy hecha pedazos, mientras me estoy volviendo... Loca.
"
96,1,"@USUARIO tremendo hdp y así quieres ser presidente 🖕 
"
97,0,"Ya mejor mientame la madre bida
"
98,1,"#MasterChefMx espero y ya saquen a Rogelia por joto. Aparte de que no sabe cocinar
"
99,1,"🤣😂🤣😂🤣😂 tu que putas hablas de #futbol 🤣😂🤣😂🤣😂🤣 cállate basquetbolero!!!
"
100,0,"Daría la salud de mi puta madre por poder meterte la lengua en ese culito mi amor.
"
101,1," y @USUARIO si tu vida sexual te hace feliz .. a mi tambien  y chinguen a su madre los putos persinados te apoyo!
"
102,0,"Entre más corriente más ambiente👌 cada que digan V word una verga se le va a caer a alguien. #Prayforlasvergas
"
103,0,"@USUARIO @USUARIO #SiLUP sacó a guardado y valió madre
"
